15:21:25.953 Elfbot NG 4.5.9 - Entry Started on quinta-feira abril 16, 2026
15:21:25.953 HkeyProc Error #502 C0000005 on hotkey: exec attack $fileline.'bridge_target_in.txt'.1 command: exec
15:21:25.046 HkeyProc Error #502 C0000005 on hotkey: exec attack $fileline.'bridge_target_in.txt'.1 command: exec
15:21:26.750 HkeyProc Error #502 C0000005 on hotkey: exec attack $fileline.'bridge_target_in.txt'.1 command: exec
15:21:26.843 HkeyProc Error #502 C0000005 on hotkey: exec attack $fileline.'bridge_target_in.txt'.1 command: exec
15:21:26.046 HkeyProc Error #502 C0000005 on hotkey: exec attack $fileline.'bridge_target_in.txt'.1 command: exec
15:21:26.156 HkeyProc Error #502 C0000005 on hotkey: exec attack $fileline.'bridge_target_in.txt'.1 command: exec
15:21:26.265 HkeyProc Error #502 C0000005 on hotkey: exec attack $fileline.'bridge_target_in.txt'.1 command: exec
15:21:26.343 HkeyProc Error #502 C0000005 on hotkey: exec attack $fileline.'bridge_target_in.txt'.1 command: exec
15:21:26.546 HkeyProc Error #502 C0000005 on hotkey: exec attack $fileline.'bridge_target_in.txt'.1 command: exec
15:21:27.656 HkeyProc Error #502 C0000005 on hotkey: exec attack $fileline.'bridge_target_in.txt'.1 command: exec
15:21:27.765 HkeyProc Error #502 C0000005 on hotkey: exec attack $fileline.'bridge_target_in.txt'.1 command: exec
15:21:27.843 HkeyProc Error #502 C0000005 on hotkey: exec attack $fileline.'bridge_target_in.txt'.1 command: exec
15:21:27.156 HkeyProc Error #502 C0000005 on hotkey: exec attack $fileline.'bridge_target_in.txt'.1 command: exec
15:21:27.343 HkeyProc Error #502 C0000005 on hotkey: exec attack $fileline.'bridge_target_in.txt'.1 command: exec
15:21:27.453 HkeyProc Error #502 C0000005 on hotkey: exec attack $fileline.'bridge_target_in.txt'.1 command: exec
15:21:27.546 HkeyProc Error #502 C0000005 on hotkey: exec attack $fileline.'bridge_target_in.txt'.1 command: exec
15:21:28.750 HkeyProc Error #502 C0000005 on hotkey: exec attack $fileline.'bridge_target_in.txt'.1 command: exec
15:21:28.953 HkeyProc Error #502 C0000005 on hotkey: exec attack $fileline.'bridge_target_in.txt'.1 command: exec
15:21:28.156 HkeyProc Error #502 C0000005 on hotkey: exec attack $fileline.'bridge_target_in.txt'.1 command: exec
15:21:28.250 HkeyProc Error #502 C0000005 on hotkey: exec attack $fileline.'bridge_target_in.txt'.1 command: exec
15:21:28.343 HkeyProc Error #502 C0000005 on hotkey: exec attack $fileline.'bridge_target_in.txt'.1 command: exec
15:21:28.453 HkeyProc Error #502 C0000005 on hotkey: exec attack $fileline.'bridge_target_in.txt'.1 command: exec
15:21:28.546 HkeyProc Error #502 C0000005 on hotkey: exec attack $fileline.'bridge_target_in.txt'.1 command: exec
15:21:29.750 HkeyProc Error #502 C0000005 on hotkey: exec attack $fileline.'bridge_target_in.txt'.1 command: exec
15:22:44.750 HkeyProc Error #502 C0000005 on hotkey: exec attack $fileline.'bridge_target_in.txt'.1 command: exec
15:22:44.843 HkeyProc Error #502 C0000005 on hotkey: exec attack $fileline.'bridge_target_in.txt'.1 command: exec
15:22:44.343 HkeyProc Error #502 C0000005 on hotkey: exec attack $fileline.'bridge_target_in.txt'.1 command: exec
15:22:44.546 HkeyProc Error #502 C0000005 on hotkey: exec attack $fileline.'bridge_target_in.txt'.1 command: exec
15:22:45.750 HkeyProc Error #502 C0000005 on hotkey: exec attack $fileline.'bridge_target_in.txt'.1 command: exec
15:22:45.953 HkeyProc Error #502 C0000005 on hotkey: exec attack $fileline.'bridge_target_in.txt'.1 command: exec
15:22:45.046 HkeyProc Error #502 C0000005 on hotkey: exec attack $fileline.'bridge_target_in.txt'.1 command: exec
15:22:45.250 HkeyProc Error #502 C0000005 on hotkey: exec attack $fileline.'bridge_target_in.txt'.1 command: exec
15:22:45.343 HkeyProc Error #502 C0000005 on hotkey: exec attack $fileline.'bridge_target_in.txt'.1 command: exec
15:22:45.453 HkeyProc Error #502 C0000005 on hotkey: exec attack $fileline.'bridge_target_in.txt'.1 command: exec
15:22:46.656 HkeyProc Error #502 C0000005 on hotkey: exec attack $fileline.'bridge_target_in.txt'.1 command: exec
15:22:46.843 HkeyProc Error #502 C0000005 on hotkey: exec attack $fileline.'bridge_target_in.txt'.1 command: exec
15:22:46.046 HkeyProc Error #502 C0000005 on hotkey: exec attack $fileline.'bridge_target_in.txt'.1 command: exec
15:22:46.156 HkeyProc Error #502 C0000005 on hotkey: exec attack $fileline.'bridge_target_in.txt'.1 command: exec
15:22:46.250 HkeyProc Error #502 C0000005 on hotkey: exec attack $fileline.'bridge_target_in.txt'.1 command: exec
15:22:46.343 HkeyProc Error #502 C0000005 on hotkey: exec attack $fileline.'bridge_target_in.txt'.1 command: exec
15:22:46.546 HkeyProc Error #502 C0000005 on hotkey: exec attack $fileline.'bridge_target_in.txt'.1 command: exec
15:22:47.750 HkeyProc Error #502 C0000005 on hotkey: exec attack $fileline.'bridge_target_in.txt'.1 command: exec
15:22:47.953 HkeyProc Error #502 C0000005 on hotkey: exec attack $fileline.'bridge_target_in.txt'.1 command: exec
15:22:47.156 HkeyProc Error #502 C0000005 on hotkey: exec attack $fileline.'bridge_target_in.txt'.1 command: exec
15:22:47.343 HkeyProc Error #502 C0000005 on hotkey: exec attack $fileline.'bridge_target_in.txt'.1 command: exec
15:22:47.453 HkeyProc Error #502 C0000005 on hotkey: exec attack $fileline.'bridge_target_in.txt'.1 command: exec
15:22:47.546 HkeyProc Error #502 C0000005 on hotkey: exec attack $fileline.'bridge_target_in.txt'.1 command: exec
15:22:48.656 HkeyProc Error #502 C0000005 on hotkey: exec attack $fileline.'bridge_target_in.txt'.1 command: exec
15:22:48.750 HkeyProc Error #502 C0000005 on hotkey: exec attack $fileline.'bridge_target_in.txt'.1 command: exec
